zip,eiaid,utility_name,state,service_type,ownership,comm_rate,ind_rate,res_rate
36268,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36269,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36015,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35131,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35130,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35133,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35135,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35137,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
35139,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36568,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36560,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36606,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36607,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36604,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36605,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36602,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36603,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36601,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36608,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
36609,195,Alabama Power Co,AL,Bundled,Investor Owned,0.1057611954,0.0602924367,0.1149432671
